Hazard, Chelsea FC, MID, 11.5, 3.0
Robben, FC Bayern München, MID, 11.0, 0
Rodríguez, Real Madrid CF, MID, 10.5, 3.0
Götze, FC Bayern München, MID, 10.5, 0
Ribéry, FC Bayern München, MID, 10.5, 0
Touré, Manchester City FC, MID, 10.0, 3.0
Vidal, FC Bayern München, MID, 10.0, 0
Iniesta, FC Barcelona, MID, 10.0, 3.0
Fàbregas, Chelsea FC, MID, 9.5, 7.0
Silva, Manchester City FC, MID, 9.5, 8.0
Özil, Arsenal FC, MID, 9.5, 11.0
Cazorla, Arsenal FC, MID, 9.5, 3.0
Koke, Club Atlético de Madrid, MID, 9.0, 0
Pjanić, AS Roma, MID, 9.0, 13.0
Ramsey, Arsenal FC, MID, 9.0, 2.0
Rakitić, FC Barcelona, MID, 9.0, 12.0
María, Paris Saint-Germain, MID, 9.0, 0
Sterling, Manchester City FC, MID, 9.0, 18.0
Pogba, Juventus, MID, 9.0, 3.0
Isco, Real Madrid CF, MID, 9.0, 2.0
Kampl, Bayer 04 Leverkusen, MID, 8.5, 5.0
Oscar, Chelsea FC, MID, 8.5, 13.0
Kroos, Real Madrid CF, MID, 8.5, 3.0
Marchisio, Juventus, MID, 8.5, 2.0
Rossi, AS Roma, MID, 8.5, 11.0
Bruyne, Manchester City FC, MID, 8.5, 8.0
Hernanes, Juventus, MID, 8.5, 0.0
Pastore, Paris Saint-Germain, MID, 8.5, 0
Mata, Manchester United FC, MID, 8.5, 8.0
Dzagoev, PFC CSKA Moskva, MID, 8.0, 3.0
Raffael, VfL Borussia Mönchengladbach, MID, 8.0, 0
Khedira, Juventus, MID, 8.0, 3.0
Oxlade-Chamberlain, Arsenal FC, MID, 8.0, 0
Teixeira, FC Shakhtar Donetsk, MID, 8.0, 17.0
Kramer, Bayer 04 Leverkusen, MID, 8.0, 2.0
Sneijder, Galatasaray AŞ, MID, 8.0, 0
Draxler, VfL Wolfsburg, MID, 8.0, 8.0
Valbuena, Olympique Lyonnais, MID, 8.0, 3.0
Modrić, Real Madrid CF, MID, 8.0, 8.0
Fekir, Olympique Lyonnais, MID, 8.0, 0
Konoplyanka, Sevilla FC, MID, 8.0, 13.0
Lucas, Paris Saint-Germain, MID, 8.0, 0
Navas, Manchester City FC, MID, 8.0, 2.0
Nasri, Manchester City FC, MID, 8.0, 0
Willian, Chelsea FC, MID, 8.0, 28.0
Bernard, FC Shakhtar Donetsk, MID, 8.0, 3.0
Danny, FC Zenit, MID, 8.0, 0
Costa, FC Bayern München, MID, 8.0, 0
Hazard, VfL Borussia Mönchengladbach, MID, 7.5, 0
Busquets, FC Barcelona, MID, 7.5, 2.0
Tiago, Club Atlético de Madrid, MID, 7.5, 0
Florenzi, AS Roma, MID, 7.5, 8.0
Herrera, Manchester United FC, MID, 7.5, 2.0
Cuadrado, Juventus, MID, 7.5, 3.0
Gabi, Club Atlético de Madrid, MID, 7.5, 0
Vitolo, Sevilla FC, MID, 7.5, 8.0
Witsel, FC Zenit, MID, 7.5, 0
Alcántara, FC Bayern München, MID, 7.5, 0
Iturbe, AS Roma, MID, 7.5, 3.0
Alonso, FC Bayern München, MID, 7.5, 0
Fellaini, Manchester United FC, MID, 7.5, 2.0
Tolisso, Olympique Lyonnais, MID, 7.5, 2.0
Reyes, Sevilla FC, MID, 7.5, 2.0
Fernandinho, Manchester City FC, MID, 7.5, 7.0
Schweinsteiger, Manchester United FC, MID, 7.5, 2.0
Schneiderlin, Manchester United FC, MID, 7.5, 2.0
Wilshere, Arsenal FC, MID, 7.5, 0
Taison, FC Shakhtar Donetsk, MID, 7.5, 3.0
Schürrle, VfL Wolfsburg, MID, 7.5, 7.0
Herrera, FC Porto, MID, 7.5, 3.0
Fernando, Manchester City FC, MID, 7.5, 3.0
Xhaka, VfL Borussia Mönchengladbach, MID, 7.5, 0
Verratti, Paris Saint-Germain, MID, 7.0, 0
Roberto, FC Barcelona, MID, 7.0, 8.0
Banega, Sevilla FC, MID, 7.0, 12.0
Young, Manchester United FC, MID, 7.0, 2.0
Gonalons, Olympique Lyonnais, MID, 7.0, -4.0
Malbranque, Olympique Lyonnais, MID, 7.0, 2.0
Matuidi, Paris Saint-Germain, MID, 7.0, 0
Delph, Manchester City FC, MID, 7.0, 3.0
Matić, Chelsea FC, MID, 7.0, 0.0
Kovačić, Real Madrid CF, MID, 7.0, 7.0
Ferreira-Carrasco, Club Atlético de Madrid, MID, 7.0, 0
Grenier, Olympique Lyonnais, MID, 7.0, 3.0
Ñíguez, Club Atlético de Madrid, MID, 7.0, 0
Oliveira, FC Porto, MID, 7.0, 0
Kakuta, Sevilla FC, MID, 7.0, 0
Carrick, Manchester United FC, MID, 7.0, 3.0
Taarabt, SL Benfica, MID, 7.0, 0
Herrmann, VfL Borussia Mönchengladbach, MID, 7.0, 0
Iborra, Sevilla FC, MID, 7.0, 2.0
Bellarabi, Bayer 04 Leverkusen, MID, 7.0, 3.0
Nainggolan, AS Roma, MID, 7.0, 1.0
Gaitán, SL Benfica, MID, 7.0, 14.0
Pereyra, Juventus, MID, 7.0, 1.0
Maher, PSV Eindhoven, MID, 7.0, 3.0
Tošić, PFC CSKA Moskva, MID, 7.0, 3.0
Fred, FC Shakhtar Donetsk, MID, 6.5, 2.0
Stambouli, Paris Saint-Germain, MID, 6.5, 0
Nem, FC Shakhtar Donetsk, MID, 6.5, 0
Cañas, FC Astana, MID, 6.5, 2.0
Martínez, FC Bayern München, MID, 6.5, 0
Arnold, VfL Wolfsburg, MID, 6.5, 2.0
Motta, Paris Saint-Germain, MID, 6.5, 0
Foket, KAA Gent, MID, 6.5, 3.0
Pröpper, PSV Eindhoven, MID, 6.5, 8.0
Bender, Bayer 04 Leverkusen, MID, 6.5, 2.0
Kranjčar, FC Dynamo Kyiv, MID, 6.5, 0
Hahn, VfL Borussia Mönchengladbach, MID, 6.5, 0
Gustavo, VfL Wolfsburg, MID, 6.5, 3.0
André, FC Porto, MID, 6.5, 13.0
Sturaro, Juventus, MID, 6.5, 1.0
Torres, Club Atlético de Madrid, MID, 6.5, 0
N'Zonzi, Sevilla FC, MID, 6.5, 2.0
Keita, AS Roma, MID, 6.5, 3.0
Eremenko, PFC CSKA Moskva, MID, 6.5, 3.0
Hleb, FC BATE Borisov, MID, 6.5, 2.0
Guardado, PSV Eindhoven, MID, 6.5, 1.0
Falqué, AS Roma, MID, 6.5, 8.0
Cambiasso, Olympiacos FC, MID, 6.5, 1.0
Traoré, VfL Borussia Mönchengladbach, MID, 6.5, 0
Blind, Manchester United FC, MID, 6.5, 3.0
Krohn-Dehli, Sevilla FC, MID, 6.5, 0
İnan, Galatasaray AŞ, MID, 6.5, 0
Valencia, Manchester United FC, MID, 6.5, 3.0
Maksimović, FC Astana, MID, 6.5, 3.0
Ferri, Olympique Lyonnais, MID, 6.0, 5.0
Coquelin, Arsenal FC, MID, 6.0, 3.0
Almeida, SL Benfica, MID, 6.0, 1.0
Kasami, Olympiacos FC, MID, 6.0, 2.0
Rosický, Arsenal FC, MID, 6.0, 0
Guilavogui, VfL Wolfsburg, MID, 6.0, 3.0
Gordeichuk, FC BATE Borisov, MID, 6.0, 7.0
Stepanenko, FC Shakhtar Donetsk, MID, 6.0, -4.0
Vainqueur, AS Roma, MID, 6.0, 2.0
Nordtveit, VfL Borussia Mönchengladbach, MID, 6.0, 0
Stindl, VfL Borussia Mönchengladbach, MID, 6.0, 0
Neves, FC Porto, MID, 6.0, 3.0
Altıntop, Galatasaray AŞ, MID, 6.0, 0
Rodriguez, VfL Wolfsburg, MID, 6.0, 0
Shatov, FC Zenit, MID, 6.0, 0
Belhanda, FC Dynamo Kyiv, MID, 6.0, 1.0
Kéthévoama, FC Astana, MID, 6.0, 3.0
Krychowiak, Sevilla FC, MID, 6.0, 2.0
Rode, FC Bayern München, MID, 6.0, 0
Casemiro, Real Madrid CF, MID, 6.0, 1.0
Milanov, PFC CSKA Moskva, MID, 6.0, 3.0
Ramires, Chelsea FC, MID, 6.0, 3.0
Marlos, FC Shakhtar Donetsk, MID, 6.0, 3.0
Ødegaard, Real Madrid CF, MID, 6.0, 0
Rodrigo, Valencia CF, MID, 6.0, 3.0
Darder, Olympique Lyonnais, MID, 6.0, 3.0
Veloso, FC Dynamo Kyiv, MID, 6.0, 2.0
Caligiuri, VfL Wolfsburg, MID, 6.0, 6.0
Pereiro, PSV Eindhoven, MID, 6.0, 2.0
Danilo, FC Porto, MID, 6.0, 0.0
Arteta, Arsenal FC, MID, 6.0, 3.0
Carcela-González, SL Benfica, MID, 6.0, 0
Milicievic, KAA Gent, MID, 6.0, 0
Parejo, Valencia CF, MID, 6.0, 2.0
Kenedy, Chelsea FC, MID, 5.5, 1.0
Dejaeghere, KAA Gent, MID, 5.5, 0
Ćorić, GNK Dinamo Zagreb, MID, 5.5, 1.0
Adu, Malmö FF, MID, 5.5, 0
Ghezzal, Olympique Lyonnais, MID, 5.5, 3.0
Kalulu, Olympique Lyonnais, MID, 5.5, 2.0
Baga, FC BATE Borisov, MID, 5.5, 2.0
Imbula, FC Porto, MID, 5.5, 2.0
Seguin, VfL Wolfsburg, MID, 5.5, 0
Andrade, SL Benfica, MID, 5.5, 0.0
Cristóforo, Sevilla FC, MID, 5.5, 0
Pérez, Valencia CF, MID, 5.5, 1.0
Sydorchuk, FC Dynamo Kyiv, MID, 5.5, 2.0
Fortounis, Olympiacos FC, MID, 5.5, 1.0
Rodríguez, Galatasaray AŞ, MID, 5.5, 0
Loftus-Cheek, Chelsea FC, MID, 5.5, 0
Luismi, Sevilla FC, MID, 5.5, 0
Lewicki, Malmö FF, MID, 5.5, 0
Talisca, SL Benfica, MID, 5.5, 3.0
Lestienne, PSV Eindhoven, MID, 5.5, 13.0
Pardo, Olympiacos FC, MID, 5.5, 18.0
Lingard, Manchester United FC, MID, 5.5, 2.0
Cheryshev, Real Madrid CF, MID, 5.5, 0.0
Neto, KAA Gent, MID, 5.5, 2.0
García, FC Zenit, MID, 5.5, 0
Gusev, FC Dynamo Kyiv, MID, 5.5, 7.0
Fayzulin, FC Zenit, MID, 5.5, 0
Wernbloom, PFC CSKA Moskva, MID, 5.5, 0.0
Fuego, Valencia CF, MID, 5.5, 2.0
Barbosa, Valencia CF, MID, 5.5, 0
Mvuemba, Olympique Lyonnais, MID, 5.5, 0
Kisa, Galatasaray AŞ, MID, 5.0, 0
Uçan, AS Roma, MID, 5.0, 1.0
Pizzi, SL Benfica, MID, 5.0, 3.0
Yusupov, FC Zenit, MID, 5.0, 0
Beysebekov, FC Astana, MID, 5.0, 3.0
Guðmundsson, PSV Eindhoven, MID, 5.0, 0
Rybalka, FC Dynamo Kyiv, MID, 5.0, 1.0
Vázquez, Real Madrid CF, MID, 5.0, 2.0
Zhukov, FC Astana, MID, 5.0, 1.0
Evandro, FC Porto, MID, 5.0, 3.0
Çolak, Galatasaray AŞ, MID, 5.0, 0
Domínguez, Olympiacos FC, MID, 5.0, 3.0
Tousart, Olympique Lyonnais, MID, 5.0, 0
Petrović, FC Dynamo Kyiv, MID, 5.0, 0
Schulz, VfL Borussia Mönchengladbach, MID, 5.0, 0
Volodko, FC BATE Borisov, MID, 5.0, 1.0
Likhtarovich, FC BATE Borisov, MID, 5.0, 0
Karnitski, FC BATE Borisov, MID, 5.0, 2.0
Labidi, Olympique Lyonnais, MID, 5.0, 0
Samaris, SL Benfica, MID, 5.0, 0.0
Traoré, Chelsea FC, MID, 5.0, 1.0
Kemen, Olympique Lyonnais, MID, 5.0, 0
Cauņa, PFC CSKA Moskva, MID, 5.0, 2.0
Buyalskiy, FC Dynamo Kyiv, MID, 5.0, 6.0
Bruggen, KAA Gent, MID, 5.0, 0
Rodić, Malmö FF, MID, 5.0, 0
Schaars, PSV Eindhoven, MID, 5.0, 1.0
Hendrix, PSV Eindhoven, MID, 5.0, 3.0
Yurchenko, Bayer 04 Leverkusen, MID, 5.0, 1.0
Saief, KAA Gent, MID, 5.0, 1.0
Golovin, PFC CSKA Moskva, MID, 5.0, 1.0
Machado, GNK Dinamo Zagreb, MID, 5.0, 2.0
Gomes, Valencia CF, MID, 5.0, 6.0
Kimmich, FC Bayern München, MID, 5.0, 0
Rabiot, Paris Saint-Germain, MID, 5.0, 0
Partey, Club Atlético de Madrid, MID, 5.0, 0
Powell, Manchester United FC, MID, 5.0, 1.0
Paul, Valencia CF, MID, 5.0, 3.0
Garmash, FC Dynamo Kyiv, MID, 5.0, 7.0
Brandt, Bayer 04 Leverkusen, MID, 5.0, 1.0
Kums, KAA Gent, MID, 5.0, 7.0
Mikel, Chelsea FC, MID, 5.0, 3.0
Tropi, Valencia CF, MID, 5.0, 0
Šovšić, GNK Dinamo Zagreb, MID, 5.0, 0
Vloet, PSV Eindhoven, MID, 5.0, 0
Kroon, Malmö FF, MID, 4.5, 0
Ryu, Bayer 04 Leverkusen, MID, 4.5, 0
Svanberg, Malmö FF, MID, 4.5, 0
Ademi, GNK Dinamo Zagreb, MID, 4.5, 2.0
Olekhnovich, FC BATE Borisov, MID, 4.5, 0
Asare, KAA Gent, MID, 4.5, 1.0
Pereira, Manchester United FC, MID, 4.5, 1.0
Natcho, PFC CSKA Moskva, MID, 4.5, 2.0
Rikan, Maccabi Tel-Aviv FC, MID, 4.5, 0
Frey, Bayer 04 Leverkusen, MID, 4.5, 0
Gaudino, FC Bayern München, MID, 4.5, 0
Feghouli, Valencia CF, MID, 4.5, 12.0
Rakip, Malmö FF, MID, 4.5, 0
Maniatis, Olympiacos FC, MID, 4.5, 0
Kovalenko, FC Shakhtar Donetsk, MID, 4.5, 3.0
Gil, Valencia CF, MID, 4.5, 0
Nikolić, FC BATE Borisov, MID, 4.5, 2.0
Yablonski, FC BATE Borisov, MID, 4.5, 3.0
Fejsa, SL Benfica, MID, 4.5, 2.0
Gryn, FC Shakhtar Donetsk, MID, 4.5, 0
Flamini, Arsenal FC, MID, 4.5, 3.0
Cibicki, Malmö FF, MID, 4.5, 0
Muzhikov, FC Astana, MID, 4.5, 2.0
Aleksievich, FC BATE Borisov, MID, 4.5, 3.0
Kobin, FC Shakhtar Donetsk, MID, 4.5, 3.0
Khairullin, FC Astana, MID, 4.5, 0
Dahoud, VfL Borussia Mönchengladbach, MID, 4.5, 0
Cristante, SL Benfica, MID, 4.5, 1.0
Karacan, Galatasaray AŞ, MID, 4.5, 0
Matton, KAA Gent, MID, 4.5, 8.0
Malyshev, FC Shakhtar Donetsk, MID, 4.5, 2.0
Santos, GNK Dinamo Zagreb, MID, 4.5, 1.0
Pavičić, GNK Dinamo Zagreb, MID, 4.5, 0
Mitrović, Maccabi Tel-Aviv FC, MID, 4.5, 0
Antolić, GNK Dinamo Zagreb, MID, 4.5, 2.0
Myakushko, FC Dynamo Kyiv, MID, 4.5, 0
Eikrem, Malmö FF, MID, 4.5, 0
Glazer, Maccabi Tel-Aviv FC, MID, 4.0, 0
Vermouth, Maccabi Tel-Aviv FC, MID, 4.0, 0
Peretz, Maccabi Tel-Aviv FC, MID, 4.0, 0
Andersson, Malmö FF, MID, 4.0, 0
Einbinder, Maccabi Tel-Aviv FC, MID, 4.0, 0
Pivarić, GNK Dinamo Zagreb, MID, 4.0, 1.0
Armaly, Maccabi Tel-Aviv FC, MID, 4.0, 0
Gojak, GNK Dinamo Zagreb, MID, 4.0, 0
Ryazantsev, FC Zenit, MID, 4.0, 0
Milivojević, Olympiacos FC, MID, 4.0, 2.0
Dedechko, FC Astana, MID, 4.0, 3.0
Bouchalakis, Olympiacos FC, MID, 4.0, 0
Rog, GNK Dinamo Zagreb, MID, 4.0, 1.0
Zahavi, Maccabi Tel-Aviv FC, MID, 4.0, 0
Adın, Galatasaray AŞ, MID, 4.0, 0
Stasevich, FC BATE Borisov, MID, 4.0, 8.0
Miha, Maccabi Tel-Aviv FC, MID, 4.0, 0
Poletanović, KAA Gent, MID, 4.0, 0
Öztekin, Galatasaray AŞ, MID, 4.0, 0
Molins, Malmö FF, MID, 4.0, 0
Pascual, Valencia CF, MID, 4.0, 0
Kozhamberdy, FC Astana, MID, 3.5, 1.0
Azulay, Maccabi Tel-Aviv FC, MID, 3.5, 0
Igiebor, Maccabi Tel-Aviv FC, MID, 3.5, 0
Rios, FC BATE Borisov, MID, 3.5, 0
Musa, GNK Dinamo Zagreb, MID, 3.5, 0
Alberman, Maccabi Tel-Aviv FC, MID, 3.5, 0
Elabdellaoui, Olympiacos FC, MID, 3.5, 0.0
